Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VAR,Chrome 67.0.3396.99,,2018-07-25 11:13:28,2018-07-25 11:13:38,9.533s,PASSED
,,,,,,
Test Cases/Test VAR,Chrome 67.0.3396.99,,2018-07-25 11:13:29,2018-07-25 11:13:38,9.239s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 11:13:29,2018-07-25 11:13:32,2.673s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 11:13:32,2018-07-25 11:13:36,4.608s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:13:36,2018-07-25 11:13:36,0.181s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:13:36,2018-07-25 11:13:36,0.083s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:13:36,2018-07-25 11:13:37,0.695s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 11:13:37,2018-07-25 11:13:38,0.641s,PASSED
