Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VAR,Chrome 67.0.3396.99,,2018-07-25 11:18:35,2018-07-25 11:18:52,16.751s,PASSED
,,,,,,
Test Cases/DAY2/Test VAR,Chrome 67.0.3396.99,,2018-07-25 11:18:35,2018-07-25 11:18:44,8.751s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 11:18:36,2018-07-25 11:18:38,2.767s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 11:18:38,2018-07-25 11:18:42,4.044s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:18:42,2018-07-25 11:18:42,0.159s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:18:42,2018-07-25 11:18:43,0.083s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:18:43,2018-07-25 11:18:43,0.719s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 11:18:43,2018-07-25 11:18:44,0.647s,PASSED
,,,,,,
Test Cases/DAY2/Test VAR_global,Chrome 67.0.3396.99,,2018-07-25 11:18:44,2018-07-25 11:18:52,7.654s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 11:18:44,2018-07-25 11:18:46,1.945s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 11:18:46,2018-07-25 11:18:50,3.918s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:18:50,2018-07-25 11:18:50,0.124s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:18:50,2018-07-25 11:18:50,0.098s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:18:50,2018-07-25 11:18:51,0.795s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 11:18:51,2018-07-25 11:18:52,0.626s,PASSED
