Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orange HRM,Chrome 67.0.3396.99,,2018-07-24 15:37:21,2018-07-24 15:37:44,22.288s,PASSED
,,,,,,
Test Cases/Test demo1/Orange HRM,Chrome 67.0.3396.99,,2018-07-24 15:37:22,2018-07-24 15:37:44,21.954s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:37:22,2018-07-24 15:37:25,2.731s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:37:25,2018-07-24 15:37:29,4.638s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:37:29,2018-07-24 15:37:30,0.109s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:37:30,2018-07-24 15:37:30,0.101s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:37:30,2018-07-24 15:37:30,0.220s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:37:30,2018-07-24 15:37:34,4.130s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:37:34,2018-07-24 15:37:35,1.425s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:37:35,2018-07-24 15:37:37,1.173s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:37:37,2018-07-24 15:37:38,1.727s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:37:38,2018-07-24 15:37:39,1.071s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:37:39,2018-07-24 15:37:41,1.144s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:37:41,2018-07-24 15:37:41,0.522s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:37:41,2018-07-24 15:37:43,2.021s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 15:37:43,2018-07-24 15:37:44,0.643s,PASSED
