Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orange HRM,Firefox 61.0,,2018-07-26 13:01:38,2018-07-26 13:02:46,1m - 8.509s,FAILED
,,,,,,
Test Cases/DAY1/Orange HRM,Firefox 61.0,,2018-07-26 13:01:38,2018-07-26 13:02:03,25.471s,PASSED
openBrowser,Firefox 61.0,,2018-07-26 13:01:38,2018-07-26 13:01:48,10.208s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-26 13:01:48,2018-07-26 13:01:53,4.047s,PASSED
click,Firefox 61.0,,2018-07-26 13:01:53,2018-07-26 13:01:53,0.340s,PASSED
setText,Firefox 61.0,,2018-07-26 13:01:53,2018-07-26 13:01:53,0.074s,PASSED
setEncryptedText,Firefox 61.0,,2018-07-26 13:01:53,2018-07-26 13:01:53,0.172s,PASSED
click,Firefox 61.0,,2018-07-26 13:01:53,2018-07-26 13:01:56,2.650s,PASSED
click,Firefox 61.0,,2018-07-26 13:01:56,2018-07-26 13:01:56,0.734s,PASSED
click,Firefox 61.0,,2018-07-26 13:01:56,2018-07-26 13:01:57,0.739s,PASSED
click,Firefox 61.0,,2018-07-26 13:01:57,2018-07-26 13:01:59,1.406s,PASSED
click,Firefox 61.0,,2018-07-26 13:01:59,2018-07-26 13:02:00,1.331s,PASSED
click,Firefox 61.0,,2018-07-26 13:02:00,2018-07-26 13:02:01,1.406s,PASSED
click,Firefox 61.0,,2018-07-26 13:02:01,2018-07-26 13:02:02,0.513s,PASSED
click,Firefox 61.0,,2018-07-26 13:02:02,2018-07-26 13:02:03,1.244s,PASSED
closeBrowser,Firefox 61.0,,2018-07-26 13:02:03,2018-07-26 13:02:03,0.314s,PASSED
,,,,,,
Test Cases/DAY1/Orange validation 2,Firefox 61.0,,2018-07-26 13:02:03,2018-07-26 13:02:46,42.513s,FAILED
openBrowser,Firefox 61.0,,2018-07-26 13:02:04,2018-07-26 13:02:08,3.982s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-26 13:02:08,2018-07-26 13:02:12,4.243s,PASSED
setText,Firefox 61.0,,2018-07-26 13:02:12,2018-07-26 13:02:12,0.059s,PASSED
setEncryptedText,Firefox 61.0,,2018-07-26 13:02:12,2018-07-26 13:02:12,0.031s,PASSED
click,Firefox 61.0,,2018-07-26 13:02:12,2018-07-26 13:02:14,2.094s,PASSED
click,Firefox 61.0,,2018-07-26 13:02:14,2018-07-26 13:02:15,1.332s,PASSED
selectOptionByValue,Firefox 61.0,,2018-07-26 13:02:15,2018-07-26 13:02:46,30.659s,FAILED
