Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orange HRM,Chrome 67.0.3396.99,,2018-07-26 13:05:03,2018-07-26 13:06:06,1m - 2.903s,FAILED
,,,,,,
Test Cases/DAY1/Orange HRM,Chrome 67.0.3396.99,,2018-07-26 13:05:04,2018-07-26 13:05:24,19.971s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 13:05:04,2018-07-26 13:05:07,2.637s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 13:05:07,2018-07-26 13:05:10,3.323s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:05:10,2018-07-26 13:05:10,0.106s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 13:05:10,2018-07-26 13:05:10,0.098s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 13:05:10,2018-07-26 13:05:10,0.217s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:05:10,2018-07-26 13:05:13,2.184s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:05:13,2018-07-26 13:05:15,2.935s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:05:15,2018-07-26 13:05:17,1.226s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:05:17,2018-07-26 13:05:18,1.818s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:05:18,2018-07-26 13:05:20,1.120s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:05:20,2018-07-26 13:05:21,1.229s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:05:21,2018-07-26 13:05:21,0.539s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:05:21,2018-07-26 13:05:23,1.631s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 13:05:23,2018-07-26 13:05:24,0.607s,PASSED
,,,,,,
Test Cases/DAY1/Orange validation 2,Chrome 67.0.3396.99,,2018-07-26 13:05:24,2018-07-26 13:06:06,41.997s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 13:05:24,2018-07-26 13:05:26,1.960s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 13:05:26,2018-07-26 13:05:29,3.368s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 13:05:29,2018-07-26 13:05:29,0.099s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 13:05:29,2018-07-26 13:05:29,0.071s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:05:29,2018-07-26 13:05:31,2.196s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:05:31,2018-07-26 13:05:34,3.010s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-26 13:05:34,2018-07-26 13:06:06,31.152s,FAILED
