Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orange HRM,Chrome 67.0.3396.99,,2018-07-24 15:49:36,2018-07-24 15:50:17,40.451s,FAILED
,,,,,,
Test Cases/Test demo1/Orange HRM,Chrome 67.0.3396.99,,2018-07-24 15:49:37,2018-07-24 15:49:59,22.471s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:49:37,2018-07-24 15:49:40,2.772s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:49:40,2018-07-24 15:49:44,4.565s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:49:44,2018-07-24 15:49:44,0.111s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:49:44,2018-07-24 15:49:45,0.102s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:49:45,2018-07-24 15:49:45,0.215s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:49:45,2018-07-24 15:49:49,4.191s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:49:49,2018-07-24 15:49:50,1.441s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:49:50,2018-07-24 15:49:52,1.238s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:49:52,2018-07-24 15:49:53,1.813s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:49:53,2018-07-24 15:49:55,1.130s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:49:55,2018-07-24 15:49:56,1.205s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:49:56,2018-07-24 15:49:56,0.525s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:49:56,2018-07-24 15:49:58,2.204s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 15:49:58,2018-07-24 15:49:59,0.630s,PASSED
,,,,,,
Test Cases/Test demo1/Orange validation 2,Chrome 67.0.3396.99,,2018-07-24 15:49:59,2018-07-24 15:50:16,17.041s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:49:59,2018-07-24 15:50:01,1.940s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:50:01,2018-07-24 15:50:05,3.807s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:50:05,2018-07-24 15:50:05,0.099s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:50:05,2018-07-24 15:50:05,0.075s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:05,2018-07-24 15:50:09,4.006s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:09,2018-07-24 15:50:10,1.048s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 15:50:10,2018-07-24 15:50:10,0.172s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:10,2018-07-24 15:50:12,1.691s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 15:50:12,2018-07-24 15:50:12,0.193s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 15:50:12,2018-07-24 15:50:12,0.117s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 15:50:12,2018-07-24 15:50:13,0.119s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 15:50:13,2018-07-24 15:50:13,0.180s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:13,2018-07-24 15:50:13,0.071s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:13,2018-07-24 15:50:13,0.633s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:13,2018-07-24 15:50:14,0.073s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:14,2018-07-24 15:50:14,0.070s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:14,2018-07-24 15:50:14,0.072s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:14,2018-07-24 15:50:14,0.046s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:14,2018-07-24 15:50:14,0.066s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:14,2018-07-24 15:50:14,0.484s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:14,2018-07-24 15:50:14,0.065s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:50:14,2018-07-24 15:50:16,1.848s,FAILED
