Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orange HRM,Chrome 67.0.3396.99,,2018-07-26 12:50:58,2018-07-26 12:51:53,55.017s,FAILED
,,,,,,
Test Cases/DAY1/Orange HRM,Chrome 67.0.3396.99,,2018-07-26 12:50:58,2018-07-26 12:51:19,20.651s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 12:50:59,2018-07-26 12:51:01,2.690s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 12:51:01,2018-07-26 12:51:05,3.926s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:51:05,2018-07-26 12:51:05,0.101s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 12:51:05,2018-07-26 12:51:06,0.094s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 12:51:06,2018-07-26 12:51:06,0.222s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:51:06,2018-07-26 12:51:08,2.318s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:51:08,2018-07-26 12:51:11,2.951s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:51:11,2018-07-26 12:51:12,1.207s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:51:12,2018-07-26 12:51:14,1.808s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:51:14,2018-07-26 12:51:15,1.105s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:51:15,2018-07-26 12:51:16,1.187s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:51:16,2018-07-26 12:51:17,0.515s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:51:17,2018-07-26 12:51:18,1.618s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 12:51:18,2018-07-26 12:51:19,0.611s,PASSED
,,,,,,
Test Cases/DAY1/Orange validation 2,Chrome 67.0.3396.99,,2018-07-26 12:51:19,2018-07-26 12:51:52,33.303s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 12:51:19,2018-07-26 12:51:21,1.912s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 12:51:21,2018-07-26 12:51:24,3.316s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 12:51:24,2018-07-26 12:51:25,0.107s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 12:51:25,2018-07-26 12:51:25,0.072s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:51:25,2018-07-26 12:51:29,3.908s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:51:29,2018-07-26 12:51:30,1.418s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-26 12:51:30,2018-07-26 12:51:52,22.438s,FAILED
