Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orange HRM,Chrome 67.0.3396.99,,2018-07-24 15:26:26,2018-07-24 15:26:48,22.295s,PASSED
,,,,,,
Test Cases/Test demo1/Orange HRM,Chrome 67.0.3396.99,,2018-07-24 15:26:26,2018-07-24 15:26:48,21.956s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:26:27,2018-07-24 15:26:29,2.723s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:26:29,2018-07-24 15:26:33,4.033s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:26:33,2018-07-24 15:26:34,0.108s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:26:34,2018-07-24 15:26:34,0.107s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:26:34,2018-07-24 15:26:34,0.224s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:26:34,2018-07-24 15:26:38,4.061s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:26:38,2018-07-24 15:26:39,1.507s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:26:39,2018-07-24 15:26:41,1.252s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:26:41,2018-07-24 15:26:42,1.827s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:26:42,2018-07-24 15:26:44,1.112s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:26:44,2018-07-24 15:26:45,1.388s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:26:45,2018-07-24 15:26:46,0.551s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:26:46,2018-07-24 15:26:48,2.147s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 15:26:48,2018-07-24 15:26:48,0.616s,PASSED
