Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orange HRM,Chrome 67.0.3396.99,,2018-07-24 17:52:05,2018-07-24 17:53:29,1m - 24.184s,FAILED
,,,,,,
Test Cases/Test demo1/Orange HRM,Chrome 67.0.3396.99,,2018-07-24 17:52:05,2018-07-24 17:52:47,41.920s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:52:05,2018-07-24 17:52:09,3.719s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:52:09,2018-07-24 17:52:13,4.100s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:52:13,2018-07-24 17:52:13,0.095s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:52:13,2018-07-24 17:52:13,0.105s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:52:13,2018-07-24 17:52:13,0.223s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:52:13,2018-07-24 17:52:16,2.132s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:52:16,2018-07-24 17:52:47,31.130s,FAILED
,,,,,,
Test Cases/Test demo1/Orange validation 2,Chrome 67.0.3396.99,,2018-07-24 17:52:47,2018-07-24 17:53:28,41.314s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:52:47,2018-07-24 17:52:49,2.567s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:52:49,2018-07-24 17:52:53,3.997s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:52:53,2018-07-24 17:52:54,0.102s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:52:54,2018-07-24 17:52:54,0.075s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:52:54,2018-07-24 17:52:56,2.168s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:52:56,2018-07-24 17:52:57,1.163s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 17:52:57,2018-07-24 17:53:28,31.104s,FAILED
